filename	ATTRIBUTE_BodySite	ATTRIBUTE_BodyHabitat
Cl.V3.6B12.UB	UBERON:skin of back	UBERON:skin
Cl.V3.6C1.LB	UBERON:skin of back	UBERON:skin
Cl.V4.6C2.Blank	Not applicable	UBERON:blank
Cl.V4.6C3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V4.6C4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V4.6C5.C	UBERON:skin of chest	UBERON:skin
Cl.V4.6C6.UB	UBERON:skin of back	UBERON:skin
Cl.V4.6C7.LB	UBERON:skin of back	UBERON:skin
Cl.V5.6C8.Blank	Not applicable	UBERON:blank
Cl.V5.6C9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V5.6C10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V5.6C11.C	UBERON:skin of chest	UBERON:skin
Cl.V5.6C12.UB	UBERON:skin of back	UBERON:skin
Cl.V5.6D1.LB	UBERON:skin of back	UBERON:skin
Cl.V6.6D2.Blank	Not applicable	UBERON:blank
Cl.V6.6D3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V6.6D4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V6.6D5.C	UBERON:skin of chest	UBERON:skin
Cl.V6.6D6.UB	UBERON:skin of back	UBERON:skin
Cl.V6.6D7.LB	UBERON:skin of back	UBERON:skin
Cl.V9.6D8.Blank	Not applicable	UBERON:blank
Cl.V9.6D9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V9.6D10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V9.6D11.C	UBERON:skin of chest	UBERON:skin
Cl.V9.6D12.UB	UBERON:skin of back	UBERON:skin
Cl.V9.6E1.LB	UBERON:skin of back	UBERON:skin
Cl.V10.6E2.Blank	Not applicable	UBERON:blank
Cl.V10.6E3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V10.6E4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V10.6E5.C	UBERON:skin of chest	UBERON:skin
Cl.V10.6E6.UB	UBERON:skin of back	UBERON:skin
Cl.V10.6E7.LB	UBERON:skin of back	UBERON:skin
Cl.V11.6E8.Blank	Not applicable	UBERON:blank
Cl.V11.6E9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V11.6E10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V11.6E11.C	UBERON:skin of chest	UBERON:skin
Cl.V11.6E12.UB	UBERON:skin of back	UBERON:skin
Cl.V11.6F1.LB	UBERON:skin of back	UBERON:skin
Cl.V12.6F2.Blank	Not applicable	UBERON:blank
Cl.V12.6F3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V12.6F4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V12.6F5.C	UBERON:skin of chest	UBERON:skin
